Timestamp,Number of Worms (non-counted),Phosphorous01,Phosphorous02,Nitrogen01,Nitrogen02,Potassium01,Potassium02,Light Intensity,Temp01,Hum01,Heat01,SoilM01,SoilM02,Grams of Compost Harvested,Buzzer,Compost Notes
"6 Apr 2024, 10:35 AM",14,181,163,188,159,155,153,NaN,27.4,96,42,1,1,,Off,
"6 Apr 2024, 10:36 AM",14,170,152,147,170,159,153,NaN,27.4,98,42,1,1,,Off,
"6 Apr 2024, 10:37 AM",14,181,156,151,164,145,150,NaN,27.4,96,42,1,1,,Off,
"6 Apr 2024, 10:38 AM",14,182,186,168,150,178,170,NaN,27.4,93,42,1,1,,Off,
"6 Apr 2024, 10:39 AM",14,156,147,181,188,148,150,NaN,27.4,93,42,1,1,,Off,
"6 Apr 2024, 10:40 AM",14,165,179,133,155,180,176,NaN,27.4,93,42,1,1,,Off,
"6 Apr 2024, 10:41 AM",14,184,148,187,186,187,145,NaN,27.4,96,42,1,1,,Off,
"6 Apr 2024, 10:42 AM",14,154,147,181,164,189,160,NaN,27.4,94,42,1,1,,Off,
"6 Apr 2024, 10:43 AM",14,165,134,141,140,178,157,NaN,27.4,98,42,1,1,,Off,
"6 Apr 2024, 10:44 AM",14,131,134,147,152,177,158,NaN,27.4,97,42,1,1,,Off,
"6 Apr 2024, 10:45 AM",14,155,163,147,156,140,134,NaN,27.4,98,42,1,1,,Off,
"6 Apr 2024, 10:46 AM",14,158,132,170,148,162,145,NaN,27.4,99,42,1,1,,Off,
"6 Apr 2024, 10:47 AM",14,155,138,173,183,187,166,NaN,27.4,95,42,1,1,,Off,
"6 Apr 2024, 10:48 AM",14,194,194,194,194,194,194,NaN,27.4,94,42,1,1,,Off,
"6 Apr 2024, 10:49 AM",14,179,179,179,179,179,179,NaN,27.4,95,42,1,1,,Off,
"6 Apr 2024, 10:50 AM",14,184,184,184,184,184,184,NaN,27.4,96,42,1,1,,Off,
"6 Apr 2024, 10:51 AM",14,146,146,146,146,146,146,NaN,27.4,99,42,1,1,,Off,
"6 Apr 2024, 10:52 AM",14,199,199,199,199,199,199,NaN,27.4,98,42,1,1,,Off,
"6 Apr 2024, 10:53 AM",14,141,141,141,141,141,141,NaN,27.4,99,42,1,1,,Off,
"6 Apr 2024, 10:54 AM",14,143,143,143,143,143,143,NaN,27.4,98,42,0,0,,On,
"6 Apr 2024, 10:55 AM",14,173,155,138,158,140,137,NaN,27.4,97,42,0,0,,On,
"6 Apr 2024, 10:56 AM",14,146,149,133,138,169,142,NaN,27.4,93,42,0,0,,On,
"6 Apr 2024, 10:57 AM",14,149,148,149,164,159,183,NaN,27.4,98,42,0,0,,On,
"6 Apr 2024, 10:58 AM",14,187,173,136,135,157,159,NaN,27.4,94,42,0,0,,On,
"6 Apr 2024, 10:59 AM",14,143,154,131,154,136,136,NaN,27.4,98,42,0,0,,On,
"6 Apr 2024, 11:00 AM",14,189,173,162,152,154,141,NaN,27.4,99,42,0,0,,On,
"6 Apr 2024, 11:01 AM",14,170,141,172,165,155,133,NaN,27.4,94,42,0,0,,On,
"6 Apr 2024, 11:02 AM",14,171,132,146,163,153,135,NaN,27.4,99,42,0,0,,On,
"6 Apr 2024, 11:03 AM",14,170,138,175,170,152,183,NaN,27.4,94,42,0,0,,On,
"6 Apr 2024, 11:04 AM",14,139,176,143,146,157,176,NaN,27.4,96,42,0,0,,On,
"6 Apr 2024, 11:05 AM",14,134,188,147,151,135,164,NaN,27.4,94,42,0,0,,On,
"6 Apr 2024, 11:06 AM",14,139,147,177,162,182,142,NaN,27.4,93,42,0,0,,On,
"6 Apr 2024, 11:07 AM",14,145,137,173,154,168,148,NaN,27.4,97,42,0,0,,On,
"6 Apr 2024, 11:08 AM",14,147,152,173,149,141,189,NaN,27.4,95,42,0,0,,On,
"6 Apr 2024, 11:09 AM",14,132,180,147,176,183,179,NaN,27.4,95,42,0,0,,On,
"6 Apr 2024, 11:10 AM",14,142,188,135,172,187,173,NaN,27.4,95,42,0,0,,On,
"6 Apr 2024, 11:11 AM",14,160,175,186,132,137,139,NaN,27.4,93,42,0,0,,On,
"6 Apr 2024, 11:12 AM",14,155,153,159,188,145,187,NaN,27.4,94,42,0,0,,On,
"6 Apr 2024, 11:13 AM",14,136,168,154,132,167,176,NaN,27.4,93,42,0,0,,On,
"6 Apr 2024, 11:14 AM",14,151,156,187,145,163,171,NaN,27.4,96,42,0,0,,On,
"6 Apr 2024, 11:15 AM",14,148,146,159,160,154,172,NaN,27.4,98,42,0,0,,On,
"6 Apr 2024, 11:16 AM",14,143,153,152,132,186,156,NaN,27.4,96,42,0,0,,On,
"6 Apr 2024, 11:17 AM",14,163,178,184,132,132,186,NaN,27.4,97,42,0,0,,On,
"6 Apr 2024, 11:18 AM",14,189,163,131,181,139,156,NaN,27.4,93,42,0,0,,On,
"6 Apr 2024, 11:19 AM",14,165,130,174,145,154,154,NaN,27.4,99,42,0,0,,On,
"6 Apr 2024, 11:20 AM",14,133,176,154,163,144,138,NaN,27.4,94,42,0,0,,On,
"6 Apr 2024, 11:21 AM",14,139,158,176,183,151,144,NaN,27.4,96,42,0,0,,On,
"6 Apr 2024, 11:22 AM",14,130,142,177,177,189,188,NaN,27.4,96,42,0,0,,On,
"6 Apr 2024, 11:23 AM",14,162,151,138,163,167,135,NaN,27.4,94,42,0,0,,On,
"6 Apr 2024, 11:24 AM",14,132,132,164,174,152,141,NaN,27.4,99,42,0,0,,On,
"6 Apr 2024, 11:25 AM",14,131,183,137,164,147,190,NaN,27.4,96,42,0,0,,On,
"6 Apr 2024, 11:26 AM",14,156,180,158,188,131,180,NaN,27.4,94,42,0,0,,On,
"6 Apr 2024, 11:27 AM",14,146,178,184,149,185,150,NaN,27.4,94,42,0,0,,On,
"6 Apr 2024, 11:28 AM",14,163,165,160,145,145,161,NaN,27.4,94,42,0,0,,On,
"6 Apr 2024, 11:29 AM",14,132,140,189,139,157,139,NaN,27.4,98,42,0,0,,On,
"6 Apr 2024, 11:30 AM",14,160,167,140,185,163,175,NaN,27.4,97,42,0,0,,On,
"6 Apr 2024, 11:31 AM",14,156,143,156,149,176,189,NaN,27.4,94,42,0,0,,On,
"6 Apr 2024, 11:32 AM",14,143,134,149,188,177,184,NaN,27.4,96,42,0,0,,On,
"6 Apr 2024, 11:33 AM",14,158,159,135,153,153,145,NaN,27.4,95,42,0,0,,On,
"6 Apr 2024, 11:34 AM",14,143,187,138,134,186,149,NaN,27.4,95,42,0,0,,On,
"6 Apr 2024, 11:35 AM",14,186,157,145,144,160,166,NaN,27.4,98,42,0,0,,On,
"6 Apr 2024, 11:36 AM",14,172,144,156,152,190,160,NaN,27.4,95,42,0,0,,On,
"6 Apr 2024, 11:37 AM",14,149,177,155,151,165,144,NaN,27.4,94,42,1,0,,On,
"6 Apr 2024, 11:38 AM",14,188,164,137,175,142,139,NaN,27.4,95,42,1,0,,On,
"6 Apr 2024, 11:39 AM",14,184,172,178,140,146,136,NaN,27.4,96,42,1,0,,On,
"6 Apr 2024, 11:40 AM",14,146,146,146,146,146,146,NaN,27.4,99,42,1,0,,On,
"6 Apr 2024, 11:41 AM",14,146,146,146,146,146,146,NaN,27.4,99,42,1,0,,Off,
"6 Apr 2024, 11:42 AM",14,146,146,146,146,146,146,NaN,27.4,93,42,1,1,,Off,
"6 Apr 2024, 11:43 AM",14,146,146,146,146,146,146,NaN,28.1,97,42,1,1,,Off,
"6 Apr 2024, 11:44 AM",14,146,146,146,146,146,146,NaN,28.1,99,42,1,1,,Off,
"6 Apr 2024, 11:45 AM",14,146,146,146,146,146,146,NaN,28.1,93,42,1,1,,Off,
"6 Apr 2024, 11:46 AM",14,146,146,146,146,146,146,NaN,28.1,95,42,1,1,,Off,
"6 Apr 2024, 11:47 AM",14,146,146,146,146,146,146,NaN,28.1,95,42,1,1,,Off,
"6 Apr 2024, 11:48 AM",14,146,146,146,146,146,146,NaN,28.1,97,42,1,1,,Off,
"6 Apr 2024, 11:49 AM",14,146,146,146,146,146,146,NaN,28.1,98,42,1,1,,Off,
"6 Apr 2024, 11:50 AM",14,146,146,146,146,146,146,NaN,28.1,97,42,1,1,,Off,
"6 Apr 2024, 11:51 AM",14,146,146,146,146,146,146,NaN,28.1,98,42,1,1,,Off,
"6 Apr 2024, 11:52 AM",14,146,146,146,146,146,146,NaN,28.1,93,42,1,1,,Off,
"6 Apr 2024, 11:53 AM",14,146,146,146,146,146,146,NaN,28.1,95,42,1,1,,Off,
"6 Apr 2024, 11:54 AM",14,146,146,146,146,146,146,NaN,28.1,95,42,1,1,,Off,
"6 Apr 2024, 11:55 AM",14,146,146,146,146,146,146,NaN,28.1,95,42,1,1,,Off,
"6 Apr 2024, 11:56 AM",14,146,146,146,146,146,146,NaN,28.1,96,42,1,1,,Off,
"6 Apr 2024, 11:57 AM",14,146,146,146,146,146,146,NaN,28.1,94,42,1,1,,Off,
"6 Apr 2024, 11:58 AM",14,146,146,146,146,146,146,NaN,28.1,98,42,1,1,,Off,
"6 Apr 2024, 11:59 AM",14,146,146,146,146,146,146,NaN,28.1,94,42,1,1,,Off,
"6 Apr 2024, 12:00 PM",14,146,146,146,146,146,146,NaN,28.1,99,42,1,1,,Off,
"6 Apr 2024, 12:01 PM",14,146,146,146,146,146,146,NaN,28.1,98,42,1,1,,Off,
"6 Apr 2024, 12:02 PM",14,146,146,146,146,146,146,NaN,28.1,99,42,1,1,,Off,
"6 Apr 2024, 12:03 PM",14,146,146,146,146,146,146,NaN,28.1,93,42,1,1,,Off,
"6 Apr 2024, 12:04 PM",14,146,146,146,146,146,146,NaN,30.1,96,42,1,1,,Off,
"6 Apr 2024, 12:05 PM",14,146,146,146,146,146,146,NaN,30.1,98,42,1,1,,Off,
"6 Apr 2024, 12:06 PM",14,146,146,146,146,146,146,NaN,30.1,96,42,1,1,,Off,
"6 Apr 2024, 12:07 PM",14,146,146,146,146,146,146,NaN,30.1,99,42,1,1,,Off,
"6 Apr 2024, 12:08 PM",14,146,146,146,146,146,146,NaN,30.1,97,42,1,1,,Off,
"6 Apr 2024, 12:09 PM",14,146,146,146,146,146,146,NaN,30.1,95,42,1,1,,Off,
"6 Apr 2024, 12:10 PM",14,146,146,146,146,146,146,NaN,30.1,94,42,1,1,,Off,
"6 Apr 2024, 12:11 PM",14,146,146,146,146,146,146,NaN,30.1,93,42,1,1,,Off,
"6 Apr 2024, 12:12 PM",14,146,146,146,146,146,146,NaN,30.1,96,42,1,1,,Off,
"6 Apr 2024, 12:13 PM",14,146,146,146,146,146,146,NaN,30.1,99,42,1,1,,Off,
"6 Apr 2024, 12:14 PM",14,146,146,146,146,146,146,NaN,30.1,96,42,1,1,,Off,
"6 Apr 2024, 12:15 PM",14,146,146,146,146,146,146,NaN,30.1,93,42,1,1,,Off,
"6 Apr 2024, 12:16 PM",14,146,146,146,146,146,146,NaN,30.1,97,42,1,1,,Off,
"6 Apr 2024, 12:17 PM",14,146,146,146,146,146,146,NaN,30.1,97,42,1,1,,Off,
"6 Apr 2024, 12:18 PM",14,146,146,146,146,146,146,NaN,30.1,95,42,1,1,,Off,
"6 Apr 2024, 12:19 PM",14,146,146,146,146,146,146,NaN,30.1,94,42,1,1,,Off,
"6 Apr 2024, 12:20 PM",14,146,146,146,146,146,146,NaN,30.1,97,42,1,1,,Off,
"6 Apr 2024, 12:21 PM",14,146,146,146,146,146,146,NaN,30.1,96,42,1,1,,Off,
"6 Apr 2024, 12:22 PM",14,146,146,146,146,146,146,NaN,30.1,97,42,1,1,,Off,
"6 Apr 2024, 12:23 PM",14,146,146,146,146,146,146,NaN,30.1,97,42,1,1,,Off,
"6 Apr 2024, 12:24 PM",14,146,146,146,146,146,146,NaN,30.1,96,42,1,1,,Off,
"6 Apr 2024, 12:25 PM",14,146,146,146,146,146,146,NaN,30.1,93,42,1,1,,Off,
"6 Apr 2024, 12:26 PM",14,146,146,146,146,146,146,NaN,30.1,96,42,1,1,,Off,
"6 Apr 2024, 12:27 PM",14,146,146,146,146,146,146,NaN,30.1,99,42,1,1,,Off,
"6 Apr 2024, 12:28 PM",14,146,146,146,146,146,146,NaN,30.1,97,42,1,1,,Off,
"6 Apr 2024, 12:29 PM",14,146,146,146,146,146,146,NaN,34.6,96,42,1,1,,Off,
"6 Apr 2024, 12:30 PM",14,146,146,146,146,146,146,NaN,34.6,93,42,1,1,,Off,
"6 Apr 2024, 12:31 PM",14,146,146,146,146,146,146,NaN,34.6,93,42,1,1,,Off,
"6 Apr 2024, 12:32 PM",14,146,146,146,146,146,146,NaN,34.6,98,42,1,1,,Off,
"6 Apr 2024, 12:33 PM",14,146,146,146,146,146,146,NaN,34.6,98,42,1,1,,Off,
"6 Apr 2024, 12:34 PM",14,146,146,146,146,146,146,NaN,34.6,93,42,1,1,,Off,
"6 Apr 2024, 12:35 PM",14,146,146,146,146,146,146,NaN,34.6,96,42,1,1,,Off,
"6 Apr 2024, 12:36 PM",14,146,146,146,146,146,146,NaN,34.6,96,42,1,1,,Off,
"6 Apr 2024, 12:37 PM",14,146,146,146,146,146,146,NaN,34.6,93,42,1,1,,Off,
"6 Apr 2024, 12:38 PM",14,146,146,146,146,146,146,NaN,34.6,98,42,1,1,,Off,
"6 Apr 2024, 12:39 PM",14,146,146,146,146,146,146,NaN,34.6,95,42,1,1,,Off,
"6 Apr 2024, 12:40 PM",14,146,146,146,146,146,146,NaN,34.6,95,42,1,1,,Off,
"6 Apr 2024, 12:41 PM",14,146,146,146,146,146,146,NaN,34.6,98,42,1,1,,Off,
"6 Apr 2024, 12:42 PM",14,146,146,146,146,146,146,NaN,34.6,98,42,1,1,,Off,
"6 Apr 2024, 12:43 PM",14,146,146,146,146,146,146,NaN,34.6,98,42,1,1,,Off,
"6 Apr 2024, 12:44 PM",14,146,146,146,146,146,146,NaN,34.6,96,42,1,1,,Off,
"6 Apr 2024, 12:45 PM",14,146,146,146,146,146,146,NaN,34.6,96,42,1,1,,Off,
"6 Apr 2024, 12:46 PM",14,146,146,146,146,146,146,NaN,34.6,97,42,1,1,,Off,
"6 Apr 2024, 12:47 PM",14,184,162,133,144,158,151,NaN,34.6,95,42,1,1,,Off,
"6 Apr 2024, 12:48 PM",14,138,141,140,168,152,134,NaN,34.6,98,42,1,1,,Off,
"6 Apr 2024, 12:49 PM",14,141,134,190,175,150,182,NaN,34.6,97,42,1,1,,Off,
"6 Apr 2024, 12:50 PM",14,147,149,147,138,162,188,NaN,34.6,93,42,1,1,,Off,
"6 Apr 2024, 12:51 PM",14,163,179,162,155,182,173,NaN,34.6,97,42,1,1,,Off,
"6 Apr 2024, 12:52 PM",14,181,184,158,163,151,135,NaN,34.6,97,42,1,1,,Off,
"6 Apr 2024, 12:53 PM",14,154,145,135,147,138,162,NaN,34.6,96,42,1,1,,Off,
"6 Apr 2024, 12:54 PM",14,172,165,131,178,190,182,NaN,34.6,99,42,1,1,,Off,
"6 Apr 2024, 12:55 PM",14,156,189,134,153,131,137,NaN,34.6,97,42,1,1,,Off,
"6 Apr 2024, 12:56 PM",14,174,131,130,176,188,177,NaN,34.6,96,42,1,1,,Off,
"6 Apr 2024, 12:57 PM",14,150,138,138,146,169,176,NaN,34.6,99,42,1,1,,Off,
"6 Apr 2024, 12:58 PM",14,153,181,142,190,143,131,NaN,34.6,97,42,1,1,,Off,
"6 Apr 2024, 12:59 PM",14,157,172,156,160,149,137,NaN,34.6,94,42,1,1,,Off,
"6 Apr 2024, 1:00 PM",14,137,181,161,184,179,145,NaN,34.6,94,42,1,1,,Off,
"6 Apr 2024, 1:01 PM",14,169,176,157,167,147,137,NaN,32.1,95,42,1,1,,Off,
"6 Apr 2024, 1:02 PM",14,173,146,154,156,137,185,NaN,32.1,97,42,1,1,,Off,
"6 Apr 2024, 1:03 PM",14,161,190,158,167,181,189,NaN,32.1,98,42,1,1,,Off,
"6 Apr 2024, 1:04 PM",14,180,175,171,139,148,154,NaN,32.1,94,42,1,1,,Off,
"6 Apr 2024, 1:05 PM",14,184,190,142,190,134,132,NaN,32.1,93,42,1,1,,Off,
"6 Apr 2024, 1:06 PM",14,142,174,149,180,151,160,NaN,32.1,98,42,1,1,,Off,
"6 Apr 2024, 1:07 PM",14,156,163,179,170,156,178,NaN,32.1,93,42,1,1,,Off,
"6 Apr 2024, 1:08 PM",14,185,169,176,153,133,152,NaN,32.1,94,42,1,1,,Off,
"6 Apr 2024, 1:09 PM",14,178,181,137,136,170,144,NaN,32.1,96,42,1,1,,Off,
"6 Apr 2024, 1:10 PM",14,133,169,150,155,174,169,NaN,32.1,98,42,1,1,,Off,
"6 Apr 2024, 1:11 PM",14,162,137,190,142,159,169,NaN,32.1,98,42,1,1,,Off,
"6 Apr 2024, 1:12 PM",14,172,164,133,188,158,131,NaN,32.1,97,42,1,1,,Off,
"6 Apr 2024, 1:13 PM",14,186,130,145,134,183,148,NaN,32.1,99,42,1,1,,Off,
"6 Apr 2024, 1:14 PM",14,176,188,167,132,182,176,NaN,32.1,94,42,1,1,,Off,
"6 Apr 2024, 1:15 PM",14,135,137,154,162,186,187,NaN,32.1,97,42,1,1,,Off,
"6 Apr 2024, 1:16 PM",14,169,190,189,161,152,165,NaN,32.1,99,42,1,1,,Off,
"6 Apr 2024, 1:17 PM",14,187,173,159,151,135,178,NaN,32.1,96,42,1,1,,Off,
"6 Apr 2024, 1:18 PM",14,148,133,145,132,136,150,NaN,32.1,99,42,1,1,,Off,
"6 Apr 2024, 1:19 PM",14,153,178,145,187,140,147,NaN,32.1,97,42,1,1,,Off,
"6 Apr 2024, 1:20 PM",14,142,130,182,147,159,170,NaN,32.1,94,42,1,1,,Off,
"6 Apr 2024, 1:21 PM",14,145,156,153,168,152,139,NaN,32.1,98,42,1,1,,Off,
"6 Apr 2024, 1:22 PM",14,154,159,189,153,151,182,NaN,32.1,95,42,1,1,,Off,
"6 Apr 2024, 1:23 PM",14,133,149,138,148,155,181,NaN,32.1,97,42,1,1,,Off,
"6 Apr 2024, 1:24 PM",14,131,141,142,147,136,190,NaN,32.1,96,42,1,1,,Off,
"6 Apr 2024, 1:25 PM",14,169,158,171,154,159,143,NaN,32.1,99,42,1,1,,Off,
"6 Apr 2024, 1:26 PM",14,179,179,169,130,164,137,NaN,32.1,94,42,1,1,,Off,
"6 Apr 2024, 1:27 PM",14,145,173,163,172,153,187,NaN,32.1,95,42,1,1,,Off,
"6 Apr 2024, 1:28 PM",14,161,183,148,151,152,188,NaN,31.7,99,42,1,1,,Off,
"6 Apr 2024, 1:29 PM",14,179,187,164,140,149,130,NaN,31.7,98,42,1,1,,Off,
"6 Apr 2024, 1:30 PM",14,164,143,147,168,136,130,NaN,31.7,97,42,1,1,,Off,
"6 Apr 2024, 1:31 PM",14,185,161,169,179,167,159,NaN,31.7,97,42,1,1,,Off,
"6 Apr 2024, 1:32 PM",14,138,141,162,190,154,154,NaN,31.7,98,42,1,1,,Off,
"6 Apr 2024, 1:33 PM",14,31.85714286,31.85714286,31.85714286,31.85714286,31.85714286,31.85714286,NaN,31.7,98,42,1,1,,Off,
"6 Apr 2024, 1:34 PM",14,24.21428571,24.21428571,24.21428571,24.21428571,24.21428571,24.21428571,NaN,31.7,98,42,1,1,,Off,
"6 Apr 2024, 1:35 PM",14,16.57142857,16.57142857,16.57142857,16.57142857,16.57142857,16.57142857,NaN,31.7,98,42,1,1,,Off,
"6 Apr 2024, 1:36 PM",14,8.928571429,8.928571429,8.928571429,8.928571429,8.928571429,8.928571429,NaN,31.7,94,42,1,1,,Off,
"6 Apr 2024, 1:37 PM",14,1.329042834,1.854920322,1.329039128,1.285714286,1.285714286,1.285714286,NaN,31.7,96,42,1,1,,Off,
"6 Apr 2024, 1:38 PM",14,-6.357142857,-6.357142857,-6.357142857,-6.357142857,-6.357142857,-6.357142857,NaN,31.7,93,42,1,1,,Off,
"6 Apr 2024, 1:39 PM",14,-14,-14,-14,-2,-14,-29,NaN,31.7,98,42,1,1,,Off,
"6 Apr 2024, 1:40 PM",14,173,175,140,187,165,172,NaN,31.7,95,42,1,1,,Off,
"6 Apr 2024, 1:41 PM",14,169,135,145,136,136,182,NaN,31.7,98,42,1,1,,Off,
"6 Apr 2024, 1:42 PM",14,185,177,172,138,155,172,NaN,31.7,95,42,1,1,,Off,
"6 Apr 2024, 1:43 PM",14,154,165,173,164,146,131,NaN,31.7,99,42,1,1,,Off,
"6 Apr 2024, 1:44 PM",14,188,190,141,164,141,147,NaN,31.7,93,42,1,1,,Off,
"6 Apr 2024, 1:45 PM",14,161,161,149,177,150,173,NaN,31.7,93,42,1,1,,Off,
"6 Apr 2024, 1:46 PM",14,140,188,176,160,176,140,NaN,31.7,96,42,1,1,,Off,
"6 Apr 2024, 1:47 PM",14,148,135,172,151,137,133,NaN,31.7,93,42,1,1,,Off,
"6 Apr 2024, 1:48 PM",14,168,139,138,146,190,167,NaN,31.7,98,42,1,1,,Off,
"6 Apr 2024, 1:49 PM",14,168,161,186,174,133,148,NaN,31.7,94,42,1,1,,Off,
"6 Apr 2024, 1:50 PM",14,187,180,170,189,170,140,NaN,31.7,93,42,1,1,,Off,
"6 Apr 2024, 1:51 PM",14,158,140,189,145,161,173,NaN,31.7,99,42,1,1,,Off,
"6 Apr 2024, 1:52 PM",14,132,147,174,133,154,183,NaN,31.7,97,42,1,1,,Off,
"6 Apr 2024, 1:53 PM",14,150,133,153,179,147,166,NaN,31.7,98,42,1,1,,Off,
"6 Apr 2024, 1:54 PM",14,175,169,171,137,161,163,NaN,31.7,94,42,1,1,,Off,
"6 Apr 2024, 1:55 PM",14,160,154,139,141,168,151,NaN,31.7,94,42,1,1,,Off,
"6 Apr 2024, 1:56 PM",14,176,134,189,130,176,134,NaN,31.7,97,42,1,1,,Off,
"6 Apr 2024, 1:57 PM",14,188,170,161,159,135,146,NaN,31.7,96,42,1,1,,Off,
"6 Apr 2024, 1:58 PM",14,180,141,159,163,183,180,NaN,31.7,99,42,1,1,,Off,
"6 Apr 2024, 1:59 PM",14,169,182,169,139,168,176,NaN,31.7,98,42,1,1,,Off,
"6 Apr 2024, 2:00 PM",14,138,140,136,141,164,137,NaN,31.7,97,42,1,1,,Off,
"6 Apr 2024, 2:01 PM",14,137,147,181,181,172,140,NaN,31.7,97,1,1,1,,Off,
"6 Apr 2024, 2:02 PM",14,169,150,183,131,151,183,NaN,31.7,94,1,1,1,,Off,
"6 Apr 2024, 2:03 PM",14,158,147,185,181,159,190,NaN,31.7,95,1,1,1,,Off,
"6 Apr 2024, 2:04 PM",14,148,179,136,154,179,187,NaN,31.7,93,1,1,1,,Off,
"6 Apr 2024, 2:05 PM",14,132,148,130,184,135,163,NaN,31.7,98,1,1,1,,Off,
"6 Apr 2024, 2:06 PM",14,159,150,143,170,179,139,NaN,32.1,93,1,1,1,,Off,
"6 Apr 2024, 2:07 PM",14,132,132,182,130,150,187,NaN,32.1,97,1,1,1,,Off,
"6 Apr 2024, 2:08 PM",14,152,188,182,155,174,169,NaN,32.1,96,1,1,1,,Off,
"6 Apr 2024, 2:09 PM",14,158,147,145,152,179,181,NaN,32.1,99,1,1,1,,Off,
"6 Apr 2024, 2:10 PM",14,134,148,190,174,190,177,NaN,32.1,97,42,1,1,,Off,
"6 Apr 2024, 2:11 PM",14,141,167,130,153,148,145,NaN,32.1,98,42,1,1,,Off,
"6 Apr 2024, 2:12 PM",14,158,188,176,141,135,190,NaN,32.1,94,42,1,1,,Off,
"6 Apr 2024, 2:13 PM",14,139,130,173,135,138,160,NaN,32.1,93,42,1,1,,Off,
"6 Apr 2024, 2:14 PM",14,185,188,174,178,173,168,NaN,32.1,93,42,1,1,,Off,
"6 Apr 2024, 2:15 PM",14,176,179,161,190,174,169,NaN,32.1,99,42,1,1,,Off,
"6 Apr 2024, 2:16 PM",14,159,146,145,184,168,172,NaN,32.1,93,42,1,1,,Off,
