Timestamp,Number of Worms (non-counted),Phosphorous01,Phosphorous02,Nitrogen01,Nitrogen02,Potassium01,Potassium02,Light Intensity,Temp01,Hum01,Heat01,SoilM01,SoilM02,Grams of Compost Harvested,Buzzer (NIL),
"3 May 2024, 5:20 PM",20,31,38,173,35,121,145,47,28.7,75,51,1,1,,,
"3 May 2024, 5:30 PM",20,40,39,165,34,119,123,30,28.8,78,53,1,1,,,
"3 May 2024, 5:40 PM",20,38,39,170,30,118,143,33,28.7,74,50,1,1,,,
"3 May 2024, 5:50 PM",20,40,36,168,33,125,119,3,28.8,76,51,1,1,,,
"3 May 2024, 6:00 PM",20,39,36,172,35,119,122,2,28.8,74,50,1,1,,,"too hot, moving tank"
"3 May 2024, 6:10 PM",20,37,37,169,36,119,143,1,28.9,73,49,1,1,,,
"3 May 2024, 6:20 PM",20,39,39,172,32,104,119,4,29,72,49,1,1,,,
"3 May 2024, 6:30 PM",20,39,37,171,34,116,143,3,29,72,49,1,1,,,
"3 May 2024, 6:40 PM",20,37,38,173,32,121,121,4,28,72,50,1,1,,,
"3 May 2024, 6:50 PM",20,38,36,175,36,120,122,2,28,73,51,1,1,,,
"3 May 2024, 7:00 PM",20,37,38,172,36,120,121,1,28,69,48,1,1,,,
"3 May 2024, 7:10 PM",20,40,38,173,36,143,143,1,29,67,45,1,1,,,
"3 May 2024, 7:20 PM",20,38,36,167,33,119,119,1,28,67,47,1,1,,,
"3 May 2024, 7:30 PM",20,40,39,170,34,122,120,2,29,67,45,1,1,,,
"3 May 2024, 7:40 PM",20,37,39,174,34,105,121,4,27,68,48,1,1,,,
"3 May 2024, 7:50 PM",20,37,39,166,32,107,142,4,27.4,68,48,1,1,,,
"3 May 2024, 8:00 PM",20,39,38,166,36,119,150,4,27.4,68,50,1,1,,,
"3 May 2024, 8:10 PM",20,39,37,170,31,116,122,1,27.4,69,51,1,1,,,
"3 May 2024, 8:20 PM",20,40,38,173,30,107,143,3,27.4,69,51,1,1,,,
"3 May 2024, 8:30 PM",20,38,36,166,32,109,120,1,27.4,67,49,1,1,,,
"3 May 2024, 8:40 PM",20,40,39,172,32,117,123,2,27.4,66,49,1,1,,,
"3 May 2024, 8:50 PM",20,40,37,173,34,120,120,4,27.4,67,49,1,1,,,
"3 May 2024, 9:00 PM",20,38,37,176,34,112,118,3,27.5,68,50,1,1,,,
"3 May 2024, 9:10 PM",20,39,37,167,34,107,143,2,27.4,66,48,1,1,,,
"3 May 2024, 9:20 PM",20,39,36,166,35,111,121,2,27.4,66,49,1,1,,,
"3 May 2024, 9:30 PM",20,39,40,170,32,118,121,1,27.4,67,49,1,1,,,
